Field,URL Count,URLs
land_size_sm,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
land_use_designation,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
mod_date,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
multipolygon,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
nr_assessed_value,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
property_type,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
re_assessed_value,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
roll_number,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
roll_year,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
sub_property_use,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
unique_key,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
year_of_construction,3,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0; https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0
